koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm,ces_total,ces_per_1000_view,weighted_engagement_per_view,high_weight_engagement_ratio,like_rate,collect_rate,comment_rate,share_rate,interaction_rate,deep_demand_ratio,note_quote,ces_unit_price,ad_value_per_1000_view,video_cpe_calc,video_cpm_calc,post_cpe_calc,post_cpm_calc,commercial_traffic_drop_pct
945924693,low,budy_building,85700,1,3832,255,96,10,4,0,980.0,0.23,26.81,714.0,0.66,70.31,407,106.210856,0.10621086,0.03835616,0.06654489,0.02505219,0.0026096,0.00104384,0.09525052,0.29041096,980.0,2.40786241,255.741127,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,1,19000,1322,458,29,33,0,980.0,0.23,26.81,714.0,0.66,70.31,2028,106.736842,0.10673684,0.03365907,0.06957895,0.02410526,0.00152632,0.00173684,0.09694737,0.26438654,980.0,0.48323471,51.578947,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,3,253000,16000,4742,205,1128,1,980.0,0.23,26.81,714.0,0.66,70.31,26074,103.059289,0.10305929,0.06038505,0.06324111,0.01874308,0.00081028,0.0044585,0.08725296,0.22409966,980.0,0.03758533,3.873518,0.3164557,27.736111,0.23056058,20.207738,-922.6956
990226zr,low,budy_building,64000,3,766,51,7,4,2,0,10000.0,3.6,245.12,5500.0,0.0,0.0,82,107.049608,0.10704961,0.09375,0.06657963,0.00913838,0.00522193,0.00261097,0.08355091,0.171875,10000.0,121.95121951,13054.830287,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,1,1238,54,2,22,1,0,10000.0,3.6,245.12,5500.0,0.0,0.0,148,119.547658,0.11954766,0.29113924,0.04361874,0.00161551,0.0177706,0.00080775,0.0638126,0.30379747,10000.0,67.56756757,8077.544426,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,1,2127,96,29,19,10,0,10000.0,3.6,245.12,5500.0,0.0,0.0,241,113.305125,0.11330512,0.18831169,0.04513399,0.01363423,0.00893277,0.00470146,0.07240244,0.31168831,10000.0,41.49377593,4701.457452,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,3,25000,559,32,28,5,0,10000.0,3.6,245.12,5500.0,0.0,0.0,723,28.92,0.02892,0.05288462,0.02236,0.00128,0.00112,0.0002,0.02496,0.09615385,10000.0,13.83125864,400.0,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,3,251000,6155,1125,353,269,1,10000.0,3.6,245.12,5500.0,0.0,0.0,9768,38.916335,0.03891633,0.07871425,0.02452191,0.00448207,0.00140637,0.00107171,0.03148207,0.18704126,10000.0,1.02375102,39.840637,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,3,11000,351,43,29,17,0,10000.0,3.6,245.12,5500.0,0.0,0.0,578,52.545455,0.05254545,0.10454545,0.03190909,0.00390909,0.00263636,0.00154545,0.04,0.16363636,10000.0,17.30103806,909.090909,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,1,66000,2804,514,17,68,0,10000.0,3.6,245.12,5500.0,0.0,0.0,3658,55.424242,0.05542424,0.02497796,0.04248485,0.00778788,0.00025758,0.0010303,0.05156061,0.15603879,10000.0,2.73373428,151.515152,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,1,61000,6483,6086,60,560,1,10000.0,3.6,245.12,5500.0,0.0,0.0,15049,246.704918,0.24670492,0.04700887,0.10627869,0.09977049,0.00098361,0.00918033,0.21621311,0.46599439,10000.0,0.66449598,163.934426,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,0,9299,261,64,19,11,0,10000.0,3.6,245.12,5500.0,0.0,0.0,445,47.854608,0.04785461,0.08450704,0.02806753,0.00688246,0.00204323,0.00118292,0.03817615,0.23380282,10000.0,22.47191011,1075.38445,3.08842151,213.479068,1.69863183,117.413488,-613.5638
990226zr,low,budy_building,64000,0,41000,2774,3081,103,211,1,10000.0,3.6,245.12,5500.0,0.0,0.0,7111,173.439024,0.17343902,0.05089966,0.06765854,0.07514634,0.0025122,0.00514634,0.15046341,0.51612903,10000.0,1.40627197,243.902439,3.08842151,213.479068,1.69863183,117.413488,-613.5638
GDDXCCB778,low,budy_building,51300,3,12000,1021,89,20,20,1,0.0,,,431.0,0.0,0.0,1270,105.833333,0.10583333,0.03478261,0.08508333,0.00741667,0.00166667,0.00166667,0.09583333,0.09478261,431.0,0.33937008,35.916667,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,3,3025,250,23,6,3,0,0.0,,,431.0,0.0,0.0,309,102.14876,0.10214876,0.03191489,0.08264463,0.00760331,0.00198347,0.00099174,0.09322314,0.10283688,431.0,1.39482201,142.479339,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,17000,1257,159,48,52,0,0.0,,,431.0,0.0,0.0,1816,106.823529,0.10682353,0.06596306,0.07394118,0.00935294,0.00282353,0.00305882,0.08917647,0.13654354,431.0,0.2373348,25.352941,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,5131,389,33,17,11,0,0.0,,,431.0,0.0,0.0,534,104.07328,0.10407328,0.06222222,0.07581368,0.00643149,0.00331319,0.00214383,0.0877022,0.11111111,431.0,0.8071161,83.99922,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,3,8958,2048,213,44,60,0,0.0,,,431.0,0.0,0.0,2677,298.839027,0.29883903,0.04397463,0.22862246,0.02377763,0.00491181,0.00669792,0.26400982,0.10866808,431.0,0.16100112,48.113418,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,5770,427,46,17,15,0,0.0,,,431.0,0.0,0.0,601,104.159445,0.10415945,0.06336634,0.07400347,0.00797227,0.00294627,0.00259965,0.08752166,0.12475248,431.0,0.7171381,74.696707,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,10000,2654,254,43,59,1,0.0,,,431.0,0.0,0.0,3316,331.6,0.3316,0.03388704,0.2654,0.0254,0.0043,0.0059,0.301,0.0986711,431.0,0.12997587,43.1,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,181000,17000,1629,825,2042,0,0.0,,,431.0,0.0,0.0,30097,166.281768,0.16628177,0.13337365,0.09392265,0.009,0.00455801,0.01128177,0.11876243,0.11416077,431.0,0.01432036,2.381215,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,1,193000,25000,1978,1530,3815,0,0.0,,,431.0,0.0,0.0,48358,250.559585,0.25055959,0.16536213,0.12953368,0.0102487,0.00792746,0.01976684,0.16747668,0.10852953,431.0,0.00891269,2.233161,0.0,0.0,0.06772044,9.8118,78.9104
GDDXCCB778,low,budy_building,51300,3,3383,407,100,17,23,0,0.0,,,431.0,0.0,0.0,667,197.162282,0.19716228,0.07312614,0.12030742,0.02955956,0.00502513,0.0067987,0.16169081,0.21389397,431.0,0.64617691,127.401714,0.0,0.0,0.06772044,9.8118,78.9104
186169177XHS,low,budy_building,98700,5,22000,1428,423,65,60,0,6804.0,0.0,0.0,6100.0,1.74,135.35,2351,106.863636,0.10686364,0.06325911,0.06490909,0.01922727,0.00295455,0.00272727,0.08981818,0.24696356,6804.0,2.89408762,309.272727,1.83643725,150.198675,1.64642375,134.657837,72.3457
186169177XHS,low,budy_building,98700,3,13000,824,213,56,31,0,6804.0,0.0,0.0,6100.0,1.74,135.35,1385,106.538462,0.10653846,0.07740214,0.06338462,0.01638462,0.00430769,0.00238462,0.08646154,0.23932384,6804.0,4.91263538,523.384615,1.83643725,150.198675,1.64642375,134.657837,72.3457
186169177XHS,low,budy_building,98700,5,155000,8600,1057,1141,720,0,6804.0,0.0,0.0,6100.0,1.74,135.35,17101,110.329032,0.11032903,0.16157319,0.05548387,0.00681935,0.00736129,0.00464516,0.07430968,0.19083174,6804.0,0.39787147,43.896774,1.83643725,150.198675,1.64642375,134.657837,72.3457
186169177XHS,low,budy_building,98700,3,75000,4496,903,427,267,0,6804.0,0.0,0.0,6100.0,1.74,135.35,8175,109.0,0.109,0.1139012,0.05994667,0.01204,0.00569333,0.00356,0.08124,0.21828328,6804.0,0.83229358,90.72,1.83643725,150.198675,1.64642375,134.657837,72.3457
186169177XHS,low,budy_building,98700,3,56000,3256,613,369,183,0,6804.0,0.0,0.0,6100.0,1.74,135.35,6077,108.517857,0.10851786,0.12485863,0.05814286,0.01094643,0.00658929,0.00326786,0.07894643,0.22212169,6804.0,1.1196314,121.5,1.83643725,150.198675,1.64642375,134.657837,72.3457
186169177XHS,low,budy_building,98700,1,10000,1092,179,11,14,1,6804.0,0.0,0.0,6100.0,1.74,135.35,1371,137.1,0.1371,0.01929012,0.1092,0.0179,0.0011,0.0014,0.1296,0.14660494,6804.0,4.96280088,680.4,1.83643725,150.198675,1.64642375,134.657837,72.3457
