koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
262812264,low,make_up,77100,1,248,17,2,2,0,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,3,131,10,0,1,0,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,1,233,58,9,49,80,0,7500.00,1.26,48.63,6000.00,0.00,0.00
800353102,low,make_up,70200,1,201000,7260,8616,60,272,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,848,22,17,4,9,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,243,8,3,2,0,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,5,2879,624,596,12,7,1,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,785000,30000,27000,110,1112,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,503,9,2,2,0,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,515,6,2,0,0,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,451,36,2,0,1,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,1586,93,73,3,1,0,12000.00,2.59,202.51,7000.00,0.00,0.00
800353102,low,make_up,70200,1,27000,1932,1399,13,85,0,12000.00,2.59,202.51,7000.00,0.00,0.00
Light_yxtkb,low,make_up,24300,3,1322,43,38,11,7,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,934,34,30,8,3,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,1531,58,48,15,3,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,3351,150,123,19,7,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,1426,399,266,38,92,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,0,1457,1276,1020,71,142,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,3662,1588,1235,52,61,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,17000,2120,1522,82,179,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,0,1982,125,180,40,13,1,3000.00,0.00,0.00,3300.00,1.66,239.55
Light_yxtkb,low,make_up,24300,1,4979,562,555,39,57,1,3000.00,0.00,0.00,3300.00,1.66,239.55
638217797,low,make_up,13400,1,1615,73,30,31,3,0,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,0,359,27,10,0,0,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,1,7979,39,19,0,0,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,0,1314,32,15,2,1,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,0,6350,10,3,8,0,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,0,1296000,53000,44000,444,2979,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,1,154000,4903,6753,90,162,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,3,1300,4,1,0,0,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,1,5547,347,206,3,4,1,1200.00,0.11,8.06,900.00,0.00,0.00
638217797,low,make_up,13400,0,14000,514,607,30,17,0,1200.00,0.11,8.06,900.00,0.00,0.00
465319795,low,make_up,92300,3,2056,60,105,0,16,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,1,69000,2811,3560,8,297,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,1,471000,10000,29000,30,3445,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,3,912,35,41,0,6,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,0,1783,50,106,0,11,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,1,168000,5104,7522,169,1357,1,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,3,9469,355,296,27,22,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,0,4368,157,247,0,20,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,0,1478,71,39,18,59,0,6800.00,1.02,84.12,5200.00,0.00,0.00
465319795,low,make_up,92300,0,683,20,24,1,7,0,6800.00,1.02,84.12,5200.00,0.00,0.00
jgai001,high,job_hunting,98800,0,1289,53,60,0,7,1,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,1,2897,179,96,2,6,0,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,3,3452000,158000,169000,1034,11000,0,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,3,28000,1228,1271,43,257,1,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,3,2932,52,42,6,29,1,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,1,410000,6351,3428,509,390,1,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,1,718,71,62,2,13,0,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,0,7795,344,93,7,21,1,20000.00,0.47,40.98,16000.00,57.76,5522.95
jgai001,high,job_hunting,98800,3,2109,70,112,0,13,0,20000.00,0.47,40.98,16000.00,57.76,5522.95
